task,model,feature,importance
late_delivery_risk,LogisticRegression,is_weekend,0.04886576818007434
late_delivery_risk,LogisticRegression,od_lane_volume_rank,0.048802982632270675
late_delivery_risk,LogisticRegression,lag_1,0.04179521171033279
late_delivery_risk,LogisticRegression,month,0.03464638304391308
late_delivery_risk,LogisticRegression,category_avg_volume,0.03416534395973277
late_delivery_risk,LogisticRegression,region_avg_volume,0.03195909065942605
late_delivery_risk,LogisticRegression,rolling_max_28,0.024839159777609626
late_delivery_risk,LogisticRegression,rolling_min_28,0.024201578377926573
late_delivery_risk,LogisticRegression,category_id,0.018438218845783193
late_delivery_risk,RandomForestClassifier,day_of_week,0.24952325105686876
late_delivery_risk,RandomForestClassifier,above_rolling_mean_flag,0.09102332004537085
late_delivery_risk,RandomForestClassifier,lag_1,0.0485318678220821
late_delivery_risk,RandomForestClassifier,rolling_std_7,0.04064920842855664
late_delivery_risk,RandomForestClassifier,week_of_year,0.03776462635189534
late_delivery_risk,RandomForestClassifier,ewma_7,0.037513496083890895
late_delivery_risk,RandomForestClassifier,lag_7,0.03682420780168701
late_delivery_risk,RandomForestClassifier,peak_ratio_30d,0.035135477346924675
late_delivery_risk,RandomForestClassifier,day,0.03424997612767919
late_delivery_risk,RandomForestClassifier,lag_14,0.03160637128408325
late_delivery_risk,RandomForestClassifier,lag_28,0.031125192131969397
late_delivery_risk,RandomForestClassifier,rolling_mean_7,0.030343268198350364
late_delivery_risk,RandomForestClassifier,ewma_14,0.029109444747878903
late_delivery_risk,RandomForestClassifier,expanding_mean,0.029106397922721974
late_delivery_risk,RandomForestClassifier,rolling_mean_14,0.028221198864107986
late_delivery_risk,RandomForestClassifier,is_weekend,0.028102723099887407
late_delivery_risk,RandomForestClassifier,month,0.02476109693785501
late_delivery_risk,RandomForestClassifier,rolling_max_28,0.021804210743632403
late_delivery_risk,RandomForestClassifier,rolling_min_28,0.0214540126839041
late_delivery_risk,RandomForestClassifier,region_category_cv,0.013715481500799707
late_delivery_risk,GradientBoostingClassifier,day_of_week,0.6697515177368679
late_delivery_risk,GradientBoostingClassifier,above_rolling_mean_flag,0.12757430989936347
late_delivery_risk,GradientBoostingClassifier,week_of_year,0.060916320548409585
late_delivery_risk,GradientBoostingClassifier,month,0.03818616204617708
late_delivery_risk,GradientBoostingClassifier,rolling_std_7,0.03214071069353847
late_delivery_risk,GradientBoostingClassifier,day,0.024746430748864717
late_delivery_risk,GradientBoostingClassifier,lag_7,0.007897521245805554
late_delivery_risk,GradientBoostingClassifier,category_id,0.005578264514953146
late_delivery_risk,GradientBoostingClassifier,ewma_7,0.004475419479596265
